loser_age,loser_hand,loser_ioc,loser_rank,loser_rank_points,surface,tourney_level,winner_age,winner_hand,winner_ioc,winner_rank,winner_rank_points,year,games,id
21.80971937,L,FRA,62,512,Hard,G,25.00479124,R,FRA,5,2599,2000,2,88
32.25188227,R,FRA,8,2213,Hard,G,23.73169062,R,CAN,145,182,2000,2,89
21.02669405,R,COL,51,619,Hard,G,29.35249829,R,FRA,11,1792,2000,2,92
28.75564682,R,BLR,26,972,Hard,G,18.61190965,R,RUS,12,1766,2000,2,93
21.9247091,L,HUN,86,337,Hard,G,24.52566735,R,CZE,47,660,2000,3,94
19.96440794,R,GER,90,331,Hard,G,22.99520876,R,RUS,122,231,2000,2,95
19.56741958,R,USA,130,206,Hard,G,23.60848734,R,USA,2,4709,2000,2,96
18.9705681,R,AUS,116,245,Hard,G,19.29637235,R,SUI,1,6003,2000,2,97
20.10677618,R,AUS,275,68,Hard,G,28.08213552,R,ESP,15,1558,2000,2,99
28.59958932,L,ARG,121,235,Hard,G,23.85489391,R,AUT,9,1968,2000,2,100
27.73716632,L,BEL,31,886,Hard,G,18.30800821,R,USA,4,2993,2000,2,101
18.53251198,L,CRO,98,304,Hard,G,27.75359343,R,ESP,13,1713,2000,2,103
27.23066393,R,ROU,20,1247,Hard,G,22.80355921,R,PUR,54,569,2000,2,104
17.60985626,R,RUS,85,342,Hard,G,21.09240246,L,SUI,29,924,2000,3,105
25.88364134,R,CHN,137,194,Hard,G,23.80287474,R,USA,21,1183,2000,2,106
24.58863792,R,SWE,59,524,Hard,G,24.53661875,R,JPN,24,1026,2000,3,107
27.35386721,R,NED,99,303,Hard,G,25.00479124,R,FRA,5,2599,2000,2,108
23.73169062,R,CAN,145,182,Hard,G,23.321013,R,GER,141,191,2000,3,109
24.52566735,R,CZE,47,660,Hard,G,18.61190965,R,RUS,12,1766,2000,3,111
22.99520876,R,RUS,122,231,Hard,G,23.60848734,R,USA,2,4709,2000,2,112
27.78918549,R,FRA,14,1635,Hard,G,19.29637235,R,SUI,1,6003,2000,2,113
23.85489391,R,AUT,9,1968,Hard,G,28.08213552,R,ESP,15,1558,2000,3,114
18.30800821,R,USA,4,2993,Hard,G,24.35865845,R,RUS,18,1397,2000,2,115
22.80355921,R,PUR,54,569,Hard,G,27.75359343,R,ESP,13,1713,2000,2,116
21.09240246,L,SUI,29,924,Hard,G,23.80287474,R,USA,21,1183,2000,3,117
25.00479124,R,FRA,5,2599,Hard,G,24.53661875,R,JPN,24,1026,2000,2,118
23.321013,R,GER,141,191,Hard,G,29.35249829,R,FRA,11,1792,2000,3,119
18.61190965,R,RUS,12,1766,Hard,G,23.60848734,R,USA,2,4709,2000,2,120
24.35865845,R,RUS,18,1397,Hard,G,27.75359343,R,ESP,13,1713,2000,3,122
24.53661875,R,JPN,24,1026,Hard,G,23.80287474,R,USA,21,1183,2000,2,123
29.35249829,R,FRA,11,1792,Hard,G,23.60848734,R,USA,2,4709,2000,2,124
27.75359343,R,ESP,13,1713,Hard,G,19.29637235,R,SUI,1,6003,2000,2,125
23.80287474,R,USA,21,1183,Hard,G,23.60848734,R,USA,2,4709,2000,2,126
19.29637235,R,SUI,1,6003,Hard,G,23.60848734,R,USA,2,4709,2000,2,127
27.45242984,R,AUT,159,159,Clay,G,24.02190281,R,GER,156,165,2000,3,129
17.22108145,R,RUS,207,110,Clay,G,26.80082136,R,USA,27,965,2000,2,130
27.29089665,R,CZE,NA,NA,Clay,G,22.91307324,R,ITA,50,645,2000,2,131
25.97125257,R,CAN,70,477,Clay,G,21.30321697,R,CZE,42,733,2000,2,132
23.86858316,R,ISR,44,694,Clay,G,25.16084873,R,BUL,64,543,2000,2,133
23.79192334,R,RUS,41,764,Clay,G,22.36276523,R,HUN,111,272,2000,2,137
23.93155373,R,ARG,45,672,Clay,G,29.11978097,R,BLR,40,765,2000,3,138
20.54483231,R,HUN,105,289,Clay,G,29.77412731,R,BEL,99,319,2000,2,139
26.73511294,R,RSA,66,527,Clay,G,27.71800137,R,NED,89,347,2000,3,140
19.45242984,R,USA,39,777,Clay,G,28.96372348,L,ARG,78,405,2000,2,142
26.45037645,R,NED,71,463,Clay,G,32.61601643,R,FRA,6,2545,2000,2,143
22.37097878,R,CRO,18,1376,Clay,G,26.48870637,L,USA,3,2691,2000,2,144
21.45653662,L,SUI,36,851,Clay,G,23.88774812,R,SUI,72,462,2000,2,145
19.29637235,R,USA,110,277,Clay,G,22.28884326,L,HUN,58,606,2000,2,146
21.29774127,R,USA,91,345,Clay,G,25.76865161,R,HUN,132,200,2000,3,147
19.27173169,R,SLO,67,514,Clay,G,17.13073238,R,AUS,30,911,2000,3,148
26.2477755,R,CHN,93,342,Clay,G,24.88980151,R,CZE,43,713,2000,3,149
22.14373717,R,USA,77,412,Clay,G,20.90075291,R,FRA,14,1686,2000,2,151
26.02053388,R,NED,100,318,Clay,G,28.15331964,R,FRA,11,1869,2000,2,152
24.54209446,R,FRA,48,658,Clay,G,25.18548939,R,ITA,63,548,2000,2,153
25.229295,R,BUL,79,394,Clay,G,17.04859685,R,FRA,351,44,2000,3,156
21.26762491,R,FRA,20,1252,Clay,G,18.6201232,R,RUS,26,995,2000,2,157
23.00889802,R,USA,88,360,Clay,G,25.36892539,R,FRA,7,2542,2000,2,159
25.87542779,R,NZL,112,271,Clay,G,28.44626968,R,ESP,9,1874,2000,2,160
22.17385353,L,FRA,83,378,Clay,G,24.09582478,R,CAN,86,365,2000,3,161
21.45379877,R,SVK,74,461,Clay,G,21.24572211,L,ESP,46,668,2000,2,162
24.3613963,R,BEL,94,338,Clay,G,22.11088296,R,ITA,101,294,2000,3,164
24.29568789,R,NED,82,386,Clay,G,19.21423682,R,SLO,90,347,2000,3,165
